Council,Councilname,Organisation,Year,Grant Category,NumberofApplications,NumberofAwards,AwardRate,AmountApplied,AmountAwarded,AwardRateValue,latitude,longitude
AHRC,Arts and Humanities,Abertay University,2017-18,Research and Innovation Grant,2,1,50,119,60,51,56.46334,-2.973441
AHRC,Arts and Humanities,Abertay University,2018-19,Research and Innovation Grant,3,1,33,5641,5250,93,56.46334,-2.973441
AHRC,Arts and Humanities,Abertay University,2019-20,Research and Innovation Grant,4,1,25,794,403,51,56.46334,-2.973441
AHRC,Arts and Humanities,Aberystwyth University,2015-16,Research and Innovation Grant,1,0,0,28,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2016-17,Research and Innovation Grant,6,2,33,1009,849,84,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2017-18,Research and Innovation Grant,3,0,0,1038,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2018-19,Research and Innovation Grant,1,0,0,787,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2019-20,Research and Innovation Grant,4,2,50,3475,2013,58,52.403473,-4.043584
AHRC,Arts and Humanities,Anglia Ruskin University,2016-17,Fellowship,1,0,0,171,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2018-19,Fellowship,1,0,0,200,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2019-20,Fellowship,1,0,0,158,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2015-16,Research and Innovation Grant,2,1,50,156,121,78,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2016-17,Research and Innovation Grant,1,0,0,37,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2017-18,Research and Innovation Grant,3,0,0,129,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2018-19,Research and Innovation Grant,1,0,0,200,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2019-20,Research and Innovation Grant,3,2,67,906,860,95,51.741381,0.474495
AHRC,Arts and Humanities,Aston University,2017-18,Fellowship,2,0,0,277,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2019-20,Fellowship,1,0,0,175,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2015-16,Research and Innovation Grant,1,0,0,207,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2016-17,Research and Innovation Grant,2,0,0,153,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2017-18,Research and Innovation Grant,1,1,100,79,80,101,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2019-20,Research and Innovation Grant,2,0,0,108,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Bangor University,2017-18,Fellowship,1,0,0,187,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2018-19,Fellowship,2,0,0,488,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2019-20,Fellowship,1,0,0,180,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2015-16,Research and Innovation Grant,3,2,67,655,61,9,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2016-17,Research and Innovation Grant,1,1,100,35,36,101,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2017-18,Research and Innovation Grant,4,1,25,1053,79,7,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2018-19,Research and Innovation Grant,2,0,0,280,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2019-20,Research and Innovation Grant,5,1,20,760,200,26,53.229193,-4.129437
AHRC,Arts and Humanities,Bath Spa University,2015-16,Fellowship,1,0,0,78,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2016-17,Fellowship,1,1,100,130,131,101,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2017-18,Fellowship,1,0,0,200,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2018-19,Fellowship,1,0,0,187,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2019-20,Fellowship,1,1,100,200,202,101,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2015-16,Research and Innovation Grant,4,1,25,754,80,11,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2016-17,Research and Innovation Grant,7,3,43,1562,172,11,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2017-18,Research and Innovation Grant,4,0,0,1080,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2018-19,Research and Innovation Grant,4,1,25,376,85,23,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2019-20,Research and Innovation Grant,5,2,40,482,350,73,51.373209,-2.440912
AHRC,Arts and Humanities,Birkbeck College,2018-19,Fellowship,1,0,0,184,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2019-20,Fellowship,1,0,0,164,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2015-16,Research and Innovation Grant,5,2,40,2391,392,16,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2016-17,Research and Innovation Grant,4,2,50,1246,1013,81,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2017-18,Research and Innovation Grant,5,0,0,2125,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2018-19,Research and Innovation Grant,6,3,50,2580,1040,40,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2019-20,Research and Innovation Grant,5,0,0,1416,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birmingham City University,2015-16,Fellowship,1,0,0,101,0,0,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2016-17,Fellowship,2,1,50,271,135,50,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2018-19,Fellowship,1,1,100,181,184,101,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2019-20,Fellowship,1,0,0,191,0,0,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2015-16,Research and Innovation Grant,8,4,50,957,302,32,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2016-17,Research and Innovation Grant,5,2,40,644,406,63,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2017-18,Research and Innovation Grant,10,1,10,2260,684,30,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2018-19,Research and Innovation Grant,8,3,38,1232,244,20,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2019-20,Research and Innovation Grant,8,1,13,1758,36,2,52.517271,-1.897287
AHRC,Arts and Humanities,Bournemouth University,2017-18,Fellowship,1,0,0,184,0,0,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2018-19,Fellowship,2,1,50,375,186,50,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2015-16,Research and Innovation Grant,6,2,33,625,181,29,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2016-17,Research and Innovation Grant,4,2,50,975,603,62,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2017-18,Research and Innovation Grant,9,3,33,458,183,40,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2018-19,Research and Innovation Grant,3,1,33,264,201,76,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2019-20,Research and Innovation Grant,7,2,29,747,131,18,50.742979,-1.897168
AHRC,Arts and Humanities,British Library,2015-16,Research and Innovation Grant,2,1,50,1020,950,93,51.5293419,-0.127559835
AHRC,Arts and Humanities,British Library,2018-19,Research and Innovation Grant,1,0,0,49,0,0,51.5293419,-0.127559835
AHRC,Arts and Humanities,British Library,2019-20,Research and Innovation Grant,3,3,100,501,472,94,51.5293419,-0.127559835
AHRC,Arts and Humanities,Brunel University London,2016-17,Fellowship,2,1,50,351,159,45,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2017-18,Fellowship,5,0,0,959,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2018-19,Fellowship,2,1,50,286,97,34,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2015-16,Research and Innovation Grant,7,3,43,2417,1371,57,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2016-17,Research and Innovation Grant,5,0,0,1836,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2017-18,Research and Innovation Grant,5,0,0,972,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2018-19,Research and Innovation Grant,1,1,100,199,202,102,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2019-20,Research and Innovation Grant,4,1,25,1538,417,27,51.532838,-0.472856
AHRC,Arts and Humanities,Canterbury Christ Church University,2015-16,Research and Innovation Grant,1,0,0,179,0,0,51.279643,1.089364
AHRC,Arts and Humanities,Canterbury Christ Church University,2017-18,Research and Innovation Grant,2,1,50,553,202,37,51.279643,1.089364
AHRC,Arts and Humanities,Canterbury Christ Church University,2019-20,Research and Innovation Grant,1,0,0,24,0,0,51.279643,1.089364
AHRC,Arts and Humanities,Cardiff Metropolitan University,2017-18,Fellowship,1,1,100,159,161,101,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2016-17,Research and Innovation Grant,1,0,0,320,0,0,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2017-18,Research and Innovation Grant,3,1,33,166,59,35,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2018-19,Research and Innovation Grant,1,0,0,774,0,0,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff University,2015-16,Fellowship,1,1,100,68,68,100,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2016-17,Fellowship,1,0,0,199,0,0,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2017-18,Fellowship,1,1,100,199,201,101,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2018-19,Fellowship,1,0,0,150,0,0,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2015-16,Research and Innovation Grant,7,3,43,1336,546,41,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2016-17,Research and Innovation Grant,9,2,22,1826,404,22,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2017-18,Research and Innovation Grant,20,8,40,2072,1049,51,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2018-19,Research and Innovation Grant,7,2,29,8351,6028,72,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2019-20,Research and Innovation Grant,11,5,45,2308,1055,46,51.489057,-3.179825
AHRC,Arts and Humanities,"City, University of London",2017-18,Fellowship,2,0,0,314,0,0,51.527704,-0.102614
AHRC,Arts and Humanities,"City, University of London",2016-17,Research and Innovation Grant,2,0,0,195,0,0,51.527704,-0.102614
